gene,prevalence_hoa2,mean_log1p_cpm_hoa2,dispersion_hoa2,prevalence_hoa3,mean_log1p_cpm_hoa3,dispersion_hoa3,dispersion_pct_hoa2,dispersion_pct_hoa3,control_dispersion_score,in_prespecified_panel,selected_order
AC002558.3,0.13518696069031633,0.11991872108984707,1.0349617190257123,0.19078947368421087,0.16934884893006355,0.9144112952597576,0.9844463470319634,0.9337899543378996,0.9591181506849316,False,293
AC010359.3,0.15436241610738222,0.14188697080743484,1.091371788935505,0.16973684210526344,0.14681714666315676,0.909838297248523,0.9908675799086758,0.927654109589041,0.9592608447488584,False,291
AC091271.1,0.2435282837967386,0.24525539883202294,1.0335960615310797,0.11578947368421064,0.10010116228412434,0.9988181494329882,0.9841609589041096,0.980593607305936,0.9823772831050228,False,202
AC109326.1,0.2722914669223381,0.2764491657828234,1.007390629130492,0.17236842105263186,0.16332123854395939,1.0549629341133109,0.9787385844748858,0.9888698630136986,0.9838042237442922,False,196
ACE,0.11121764141898376,0.132066798708091,1.389724975090753,0.10921052631578956,0.1090112663801349,1.1629337296322728,0.997716894977169,0.9940068493150684,0.9958618721461188,False,139
ACKR1,0.5378715244487083,1.1170178251374354,1.3923852271620467,0.7157894736842033,1.9803894278612526,1.071366378292928,0.9978595890410958,0.9900114155251142,0.993935502283105,True,3
ADAMTS1,0.4851390220517756,0.7530937646201868,1.231408789811929,0.3842105263157904,0.5104618871908909,1.1944724863066412,0.9957191780821918,0.995291095890411,0.9955051369863014,False,142
ADAMTS4,0.18600191754554093,0.2206850880479215,1.3445716757443442,0.22631578947368466,0.2570427455352509,1.2268701610155284,0.9970034246575342,0.9958618721461188,0.9964326484018264,False,136
ADAMTS6,0.12751677852348997,0.14993998520757337,1.4143933787469054,0.1578947368421055,0.16610802875491157,1.164872891092767,0.9981449771689498,0.9944349315068494,0.9962899543378996,False,138
ADAMTS9,0.4707574304889758,0.593359033038776,0.9687322406878566,0.35263157894736924,0.47457475843466185,1.1668788535880035,0.966181506849315,0.9947203196347032,0.9804509132420092,False,210
ADGRG6,0.39693192713326997,0.45996693810276285,0.9345728930264827,0.3118421052631586,0.3534848810024427,1.0088233530301343,0.947345890410959,0.983304794520548,0.9653253424657535,False,271
ADM,0.20613614573346012,0.1998274838082664,1.011036943801132,0.15000000000000022,0.14170018589806999,1.0338403275223618,0.9793093607305936,0.9864440639269406,0.9828767123287672,False,199
AFG3L2,0.23969319271332543,0.20229468809520607,0.8198128834702035,0.2394736842105268,0.1999489706192683,0.8501980097728441,0.6548230593607306,0.7863869863013698,0.7206050228310502,True,20
AKAP12,0.5877277085330811,0.9600695749157963,1.0754671285841317,0.5552631578947359,0.9827787176743141,1.2300086397915042,0.9892979452054794,0.9960045662100456,0.9926512557077625,False,157
AKT1,0.2722914669223381,0.2202104216607187,0.7396013260683453,0.2289473684210531,0.18442267648510463,0.8025246913144223,0.2969463470319635,0.574343607305936,0.4356449771689498,True,49
ANKRD29,0.3854266538830301,0.4632390113064341,1.0230136099787055,0.34473684210526395,0.3778157575112321,0.9586725050852328,0.9825913242009132,0.9671803652968036,0.9748858447488584,False,235
ANKRD42,0.14669223394055586,0.12719013106061325,1.0057075836492915,0.16842105263157922,0.14774337402497853,0.9390357901324528,0.9778824200913242,0.9576198630136986,0.9677511415525114,False,265
APOD,0.10162991371045067,0.13422784867173845,1.9161540710240506,0.16315789473684236,0.2034405652150894,1.5586310893002095,0.9997146118721462,0.9991438356164384,0.9994292237442923,False,121
AQP7,0.16490891658676846,0.16987236138156658,1.1053637293534109,0.11315789473684221,0.10904373984398939,1.0915327919577247,0.9918664383561644,0.9918664383561644,0.9918664383561644,False,162
ARL15,0.20134228187919365,0.21802776155779005,1.186274802602613,0.20789473684210566,0.20478657385473203,1.0916104466304544,0.9948630136986302,0.9920091324200914,0.9934360730593608,False,151
ARL4C,0.1754554170661547,0.15918830213057628,1.0057814420766238,0.19736842105263194,0.19260372697405498,1.0924716905012142,0.9780251141552512,0.9921518264840182,0.9850884703196348,False,190
ATF3,0.334611697027804,0.4259474798257909,1.1457752437329338,0.47894736842105384,0.6895120272646017,1.1136695116453026,0.9934360730593608,0.992579908675799,0.99300799086758,False,153
ATG5,0.21188878235857989,0.16396381131864474,0.7535517966385592,0.21710526315789516,0.16415909247632962,0.74637623036986,0.3507420091324201,0.3062214611872146,0.3284817351598174,True,59
ATP13A3,0.2435282837967386,0.2538206765698249,1.1698264374953076,0.32631578947368495,0.3395390177736252,0.9939311514787879,0.9945776255707762,0.9790239726027398,0.986800799086758,False,180
ATP5F1A,0.6040268456375876,0.6451651304553162,0.5806008713655578,0.5618421052631567,0.5786881416403781,0.5800410471197882,0.07776826484018265,0.07648401826484018,0.0771261415525114,True,95
ATP5F1B,0.6414189837008671,0.7183588047559686,0.5576655472051131,0.5789473684210508,0.6075507563317095,0.5839544278587888,0.06663812785388128,0.07848173515981735,0.0725599315068493,True,99
ATP5MC1,0.450623202301056,0.4348997038155365,0.7172783810864396,0.42368421052631683,0.40140597250662824,0.695690730659391,0.2338755707762557,0.17465753424657535,0.2042665525114155,True,72
ATP8A1,0.1572387344199421,0.14147338172790394,1.0199989623129817,0.15263157894736865,0.14001013745960073,0.949136125644654,0.9815924657534246,0.9633276255707762,0.9724600456621004,False,247
B3GNT5,0.16682646212847504,0.14893453112946226,0.9463726163809093,0.24078947368421103,0.24037985556603797,0.9599246125445027,0.9559075342465754,0.9678938356164384,0.9619006849315068,False,284
BAX,0.4333652924256962,0.4134316044239236,0.7109829482223253,0.30921052631579016,0.2734306639778567,0.7763498180330406,0.22031963470319635,0.4397831050228311,0.3300513698630137,True,58
BCL2L1,0.22243528283796613,0.17059929577350455,0.7489558113634543,0.2289473684210531,0.19014412100022526,0.8064285377294272,0.3321917808219178,0.593892694063927,0.4630422374429224,True,46
BCL2L13,0.11792905081495691,0.083700657265071,0.7621893757111531,0.11052631578947378,0.08097344351663262,0.8211548614419348,0.3932648401826484,0.66324200913242,0.5282534246575342,True,41
BGN,0.2272291466922326,0.2371250613812095,1.101667650342697,0.18026315789473715,0.15376476098512376,0.9719950216792183,0.9914383561643836,0.9724600456621004,0.981949200913242,False,206
BID,0.21955896452540624,0.17400839920836905,0.8296227169537514,0.27105263157894793,0.22919982754753163,0.791316927404924,0.6976312785388128,0.5186929223744292,0.608162100456621,True,32
BIRC3,0.13326941514860974,0.12498127992485923,1.0928820835465898,0.32631578947368495,0.438315547902088,1.265356211122627,0.9910102739726028,0.9965753424657534,0.993792808219178,False,149
BMP4,0.3125599232981776,0.3317777567118215,0.9955427135764093,0.21710526315789516,0.2131181222331572,0.9424857109399281,0.9755993150684932,0.958904109589041,0.9672517123287672,False,266
BNIP3,0.2655800575263648,0.20956543754119605,0.697435815954441,0.2486842105263163,0.2091255420277022,0.8344683470791622,0.19406392694063926,0.7265981735159818,0.4603310502283105,True,47
BNIP3L,0.5004793863854288,0.5078083202083471,0.6844187893037598,0.4592105263157906,0.4644617170102045,0.7327641233431249,0.17294520547945205,0.2612728310502283,0.2171090182648402,True,70
BTNL9,0.596356663470761,0.9244980533873755,1.0410695768429237,0.5236842105263161,0.7965217830382662,1.0821794512974312,0.985445205479452,0.9912956621004566,0.9883704337899544,False,177
C11orf96,0.6270373921380673,1.0784038753281275,1.1075717219716963,0.6131578947368389,1.1656428584713858,1.163759559199147,0.9920091324200914,0.9941495433789954,0.9930793378995434,False,152
C1orf54,0.15340364333652892,0.14846029568579963,1.1256749126274195,0.20789473684210566,0.18248061024700574,0.9090248344164998,0.99300799086758,0.9269406392694064,0.9599743150684932,False,287
C2CD4B,0.3240651965484175,0.454986240657277,1.3390885141901092,0.49868421052631706,0.9276465277594059,1.344841385049867,0.9968607305936074,0.9972888127853882,0.9970747716894978,False,133
C7,0.5771812080536945,0.9818457393075424,1.0046502930893606,0.6460526315789429,1.300101454860146,0.9895341682504336,0.9775970319634704,0.9773116438356164,0.9774543378995434,False,219
CALCOCO2,0.5733461169702813,0.6330085759655497,0.660759352231148,0.6842105263157835,0.8265412372253307,0.5678284282811712,0.1415525114155251,0.07120433789954338,0.10637842465753425,True,87
CAT,0.512943432406522,0.5382880712829908,0.7087056473208961,0.3394736842105271,0.3128847094082985,0.7769690274043244,0.2141837899543379,0.442351598173516,0.328267694063927,True,60
CBWD5,0.11984659635666353,0.0954486908510862,0.9239678457391457,0.11710526315789485,0.1041979035597364,1.0437548592441752,0.9375,0.9875856164383562,0.962542808219178,False,280
CCL2,0.27133269415148475,0.3962671898138981,1.5908661220723042,0.2684210526315795,0.39891114289816776,1.5361582098067605,0.9988584474885844,0.9988584474885844,0.9988584474885844,True,2
CCL23,0.18791946308724752,0.1749367669964989,0.9938026913550937,0.17368421052631608,0.16950445989523355,1.0205977660898393,0.9750285388127854,0.9851598173515982,0.9800941780821918,False,211
CCN1,0.25023969319271167,0.2810862596229236,1.1667834301236426,0.30921052631579016,0.32053302809864165,0.9792607388840778,0.9944349315068494,0.9747431506849316,0.9845890410958904,False,191
CCN2,0.1744966442953014,0.18735050070046558,1.363823099748457,0.25263157894736893,0.3074744957258784,1.383090014205523,0.9972888127853882,0.9981449771689498,0.997716894977169,False,129
CCND1,0.4899328859060422,0.6563440219815857,0.9387969739828381,0.2881578947368427,0.3052234394333523,0.9535033968374554,0.9507705479452054,0.9650399543378996,0.9579052511415524,False,298
CD14,0.21572387344199306,0.20352066916208933,1.0555972199684944,0.2500000000000005,0.24223839171516842,0.9554366606578816,0.9870148401826484,0.9660388127853882,0.9765268264840183,False,225
CD300LG,0.39597315436241665,0.4737743677385733,0.963065237314449,0.3394736842105271,0.423474143443338,1.0672064470785103,0.9643264840182648,0.9895833333333334,0.9769549086757991,False,222
CD83,0.1390220517737295,0.12267313845027515,1.0892153371577407,0.10789473684210535,0.10153478430832141,1.1268080636711986,0.990582191780822,0.9932933789954338,0.9919377853881279,False,161
CDH13,0.28763183125599123,0.3177077689752792,1.0640317855197092,0.11447368421052642,0.11659884688308655,1.1412199843020336,0.9882990867579908,0.9935787671232876,0.9909389269406392,False,167
CGAS,0.12847555129434327,0.0994086545592504,0.8364664581884517,0.2500000000000005,0.21740880522191838,0.8541733373910197,0.7267408675799086,0.800656392694064,0.7636986301369864,True,17
CKS2,0.1907957813998074,0.18267528656049467,1.0423197506182387,0.25394736842105314,0.2466064404730697,0.9379823557590597,0.985587899543379,0.956906392694064,0.9712471461187215,False,250
CLDN5,0.5388302972195617,0.9612467235893598,1.3762272276346468,0.5565789473684201,0.9329293448367648,1.2385243207170367,0.997431506849315,0.9962899543378996,0.9968607305936072,False,135
CLPP,0.3068072866730577,0.2435836646727202,0.689926919392448,0.2842105263157901,0.22635490111951173,0.7005012351930147,0.1822203196347032,0.18421803652968036,0.1832191780821918,True,75
CNKSR3,0.21955896452540624,0.23061006954660962,1.1076017389468276,0.38157894736842196,0.4416297549994536,0.9342259998537412,0.9921518264840182,0.954480593607306,0.973316210045662,False,243
COX4I1,0.8418024928092115,1.4640432399307468,0.4123512312132992,0.8710526315789341,1.5080202470631818,0.3446443104324112,0.02868150684931507,0.0221175799086758,0.025399543378995436,True,110
COX5A,0.5407478427612683,0.5725000699908173,0.6602134640718199,0.5197368421052636,0.5194905281737088,0.6369249208103854,0.14055365296803654,0.11101598173515982,0.1257848173515982,True,82
COX6C,0.7823585810163055,1.0929605833608131,0.4611775390561668,0.7565789473684122,1.0273552108952995,0.47946428633708177,0.036244292237442924,0.04366438356164384,0.03995433789954338,True,107
COX7A2,0.6596356663470803,0.7567305400193991,0.5861173815374712,0.655263157894732,0.7526555827208399,0.5522653286975913,0.08105022831050228,0.06435502283105023,0.07270262557077625,True,98
CR381670.1,0.23873441994247213,0.25270792236684086,1.057690059583203,0.2513157894736847,0.2810507339316368,1.09252744254358,0.9877283105022832,0.9922945205479452,0.9900114155251142,False,170
CREB5,0.1418983700862894,0.1385692827482271,1.14915218804364,0.15394736842105286,0.16987940194145465,1.2120889941304465,0.9937214611872146,0.9957191780821918,0.9947203196347032,False,144
CRIP1,0.16203259827420857,0.14762092202123936,1.087897810532052,0.12500000000000014,0.11601366239477962,1.0131803551497118,0.990296803652968,0.9837328767123288,0.9870148401826484,False,179
CX3CL1,0.2607861936720982,0.24213190808229834,0.9733579825768416,0.17894736842105294,0.16372807572901102,0.9969993807131764,0.9681792237442922,0.9800228310502284,0.9741010273972603,False,238
CXCL12,0.2732502396931914,0.5758611069610016,2.2605107461539027,0.27236842105263215,0.4546141223001083,1.8601433521939672,1.0,1.0,1.0,False,118
CXCL2,0.37008628954937695,0.6042930993840924,1.4340439701741383,0.4460526315789485,0.7963106396733407,1.5281797651263078,0.9982876712328768,0.9987157534246576,0.9985017123287672,False,126
CXCL3,0.13231064237775644,0.12890040133719158,1.1609315569272607,0.18026315789473715,0.1987408317699788,1.3246100512260386,0.9942922374429224,0.9971461187214612,0.9957191780821918,False,140
CXCR4,0.13710450623202292,0.16231696811703195,1.6943606919703915,0.12500000000000014,0.14186375412373975,1.6004698388216536,0.9992865296803652,0.9992865296803652,0.9992865296803652,False,122
CYP1B1,0.5743048897411346,0.9811870669194872,1.035061820979504,0.605263157894734,1.0656255279800397,0.9897439844349222,0.9845890410958904,0.9777397260273972,0.9811643835616438,False,209
DDHD1,0.192713326941514,0.1749451564021091,0.9802783238282884,0.18289473684210558,0.16047021656357638,0.9339271355808358,0.9707477168949772,0.9539098173515982,0.9623287671232876,False,283
DEPP1,0.24736337488015178,0.3743962815022561,1.628470474190989,0.3197368421052639,0.44470814110052,1.3721482455518885,0.9990011415525114,0.997574200913242,0.9982876712328768,False,128
DGKE,0.27900287631831133,0.26970149560303097,0.9503325100235184,0.28289473684210587,0.2684791930635671,0.9778538881142087,0.9586187214611872,0.9740296803652968,0.966324200913242,False,267
DLL4,0.2521572387344183,0.23359978011925023,0.8913622783593244,0.13552631578947386,0.13491637009030438,1.1418282357119078,0.882134703196347,0.9937214611872146,0.9379280821917808,True,7
DNAJA4,0.10834132310642383,0.0923570757589706,1.0890728887816288,0.10657894736842113,0.08756596448323312,0.910532112621392,0.990439497716895,0.9287956621004566,0.9596175799086758,False,290
DNM1L,0.2732502396931914,0.23653192950270763,0.8082057950704933,0.38026315789473775,0.35212227191799145,0.7089392744975748,0.6023116438356164,0.1990582191780822,0.4006849315068493,True,52
DNM2,0.2857142857142846,0.24060919714899948,0.7840297888843035,0.24473684210526367,0.1929029825597365,0.7450455073510047,0.4931506849315068,0.3015125570776256,0.3973316210045662,True,53
DUSP2,0.14477468839884927,0.1723840069497507,1.643965953768596,0.15526315789473707,0.16388112049787948,1.382850191769781,0.9991438356164384,0.9980022831050228,0.9985730593607306,False,125
DUSP4,0.2722914669223381,0.27113048644777443,0.9466836476134134,0.2302631578947373,0.22112463415104694,0.9848336485364676,0.9564783105022832,0.976170091324201,0.966324200913242,False,268
ECRG4,0.18600191754554093,0.1714665010744111,1.0283991823967953,0.11184210526315799,0.10062393832369906,1.048144653588186,0.9835901826484018,0.988156392694064,0.9858732876712328,False,185
EDN1,0.1562799616490888,0.20123864519821208,1.4945900587659686,0.1578947368421055,0.18802671431965662,1.439296610472546,0.9985730593607306,0.9982876712328768,0.9984303652968036,False,127
EDNRB,0.23969319271332543,0.22947172057323537,1.0027137037324256,0.2947368421052638,0.3261190095222632,1.067690973702043,0.9773116438356164,0.9898687214611872,0.9835901826484018,False,197
EFNB1,0.1754554170661547,0.18433361715655439,1.15631873089711,0.19868421052631616,0.1981730480602848,1.0105374112137209,0.9941495433789954,0.9834474885844748,0.9887985159817352,False,176
EGR1,0.7104506232023063,1.4525635842030737,0.9175605586423969,0.6355263157894696,1.264663481509576,1.0781173660971288,0.9290810502283106,0.990582191780822,0.9598316210045663,False,288
EGR3,0.27996164908916465,0.3012531423009581,1.0521662468881852,0.1934210526315793,0.17946916398411633,0.9696214771147853,0.9868721461187214,0.9716038812785388,0.9792380136986301,False,214
EIF4EBP1,0.1725790987535948,0.13696746409729216,0.8221496277070425,0.1578947368421055,0.1321706627594648,0.9301090153522024,0.6678082191780822,0.9506278538812786,0.8092180365296804,True,15
EMCN,0.8897411313518776,1.6944517791289366,0.3512448106101898,0.8592105263157767,1.4838907820488303,0.39375047297940274,0.02054794520547945,0.02711187214611872,0.023829908675799087,True,112
EMP3,0.33077660594439073,0.3374012877282841,0.9810207294084364,0.2684210526315795,0.2594080260125488,1.0007914084361957,0.9714611872146118,0.9811643835616438,0.9763127853881278,False,228
ENG,0.8763183125599311,1.773104293936198,0.4303272505930776,0.8894736842105123,1.7203662114917813,0.39070081023742004,0.03139269406392694,0.02682648401826484,0.02910958904109589,True,109
ERO1B,0.18216682646212776,0.1748861728737019,1.0265450207876239,0.19210526315789508,0.16623804840112927,0.9368593827871255,0.983162100456621,0.9559075342465754,0.9695348173515982,False,256
F2RL3,0.14285714285714268,0.13971183745226598,1.0944237456586108,0.130263157894737,0.1526040149315399,1.3530260201804596,0.9911529680365296,0.997431506849315,0.9942922374429224,False,146
